245$a|245$b|245$c|100$a|490$v|260$c|856$u
"A performer's guide to theatrical elements in selected trombone literature /"||"by Cason Austin Duke."|"Duke, Cason Austin,"|"2001"|"2001."|"http://etd.lsu.edu/docs/available/etd-0307101-134037/"
"Artin-Schreier families and 2-D cycle codes /"||"by Cem Guneri."|"Guneri, Cem,"|"2001"|"2001."|"http://etd.lsu.edu/docs/available/etd-0713101-132954/"
"The effects of wild pigs (Sus scrofa) on woody understory vegetation in lowland rain forest of Malaysia"||"by Kalan Leonard Inckes."|"Ickes, Kalan Leonard,"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1116101-083403/"
"The association of food cravings and preferences with food intake"||"by Corby Kyle Martin."|"Martin, Corby Kyle."|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1128101-092913/"
"An improved in vitro model for the study of Mycobacterium leprae/Schwann cell interactions"||"by Deanna Alisa Hagge."|"Hagge, Deanna Alisa"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1109101-145509/"
"Numerical simulations of dynamical mass transfer in binaries"||"by Patrick M. Motl."|"Motl, Patrick M."|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1114101-090416/"
"""Encourager le commerce et répandre les Lumiʹere"" :"|"the press, the provinces and the origins of the Revolution in France: 1750-1789"|"by Stephen Auerbach."|"Auerbach, Stephen"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1113101-205213/"
"Polyurethane foam based packing media for biofilters removing volatile organic compounds from contaminated air"||"by Felipe A. Martinez."|"Martinez, Felipe A.,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1128101-095316/"
"Simulation study and instability of adaptive control"||"by Zhongshan Wu."|"Wu, Zhongshan,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1107101-134928/"
"The evaluation of PCR-based techniques for the detection of fecal indicator organisms in environmental samples"||"by Quinesha Laticia Perry."|"Perry, Quinesha Laticia."|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1113101-162847/"
"A textual analysis comparing the content of ""Black Enterprise,"" ""Forbes,"" and ""Fortune"" magazines and the message each presents to its readers"||"byKaren M. Rowley."|"Rowley, Karen M."|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1114101-111710//"
"Investigation of the differences between inertial and cadence effects on neuromuscular coordination during cycling"||"by Brian S. Baum."|"Baum, Brian S.,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1115101-113559/"
"Microhabitat use in an assemblage of native and introduced stream fishes in Wailoa Stream, Island of Hawaii"||"by Mark G. McRae."|"McRae, Mark G. ,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1113101-171156/"
"Mass media ethics vs. ethnicity :"|"the Cuban American National Foundation's battle with the Miami Herald"|"by Michelle Marie Cobas."|"Cobas, Michelle Marie."|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1114101-125240/"
"Palm community development and influence on seedling establishment in a tropical moist forest, Panama"||"by Krista Farris Lopez."|"Farris Lopez, Krista,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1115101-152410/"
"The effect of diet/supplement intake and competitive swimming/gymnastics upon the bone mineral density of collegiate females"||"by Teresa Christine Jones."|"Jones, Teresa Christine,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1111101-154752/"
"The effectiveness of sports sponsorhips: "|"a study of the New Orleans Zephyrs /"|"by Amy M. Boyle."|"Boyle, Amy M."|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1114101-172927/"
"Attribute agenda-setting in an open primary"|"an examination of press coverage and political ad effects /"|"by Scott Hobbs."|"Hobbs, Scott"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1114101-185702/"
"A monotone follower control problem with a nonconvex functional and some related problems"||"by Jamiiru Luttamaguzi."|"Luttamaguzi, Jamiiru."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-1218101-120133/"
"Data mining and knowledge discovery"|"a guided approach base on monotone boolean functions /"|"by Vetle Ingvald Torvik."|"Torvik, Vetle Ingvald,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-1204101-184456/"
"Evaluation of in situ bioremediation approaches in meeting international standards for organic and residual metals toxicity in soils /"||"by Jason A. McDonald."|"McDonald, Jason A. "|"2001"|"2001."|"http://etd.lsu.edu/docs/available/etd-0731102-220002/"
"An exploratory case study of the social interactions among baccalaureate nursing students in a cooperative group learning environment"||"by Golden M. Tradewell."|"Tradewell, Gordon M."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0117102-140940/"
"Essays on international trade and Bayesian forecasting"||"by Dennis S. Edwards."|"Edwards, Dennis S."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0410102-233318/"
"Tidal dynamics in the Bab el Mandab Strait"||"by Ewa Jarosz"|"Jarosz, Ewa,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0128102-144113/"
"Service learning"|"a study of administrators' goals at a Research I university /"|"by Christy Sanders."|"Sanders, Christy E."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0125102-123818/"
"Fabricating microfluidic devices in polymers for bioanalytica applications"||"by Sean M. Ford."|"Ford, Sean M.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0124102-083259/"
"Patterns of nucleotide substitution within and among mitochondrial gene regions in sea star (Leptasterias spp)"||"by Adam Wayne Hrincevich."|"Hrincevich, Adam Wayne,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0120102-223858/"
"""Getting above your raising"" :"|"the role of social class and status in the fiction of Lee Smith"|"by Sharon Elizabeth Colley."|"Colley, Sharon Elizabeth,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0129102-172747/"
"""The Neumeister collection of chorale preludes of the Bach circle"""|"an examination of the chorale preludes of J. S. Bach and their usage as service music and pedagogical works /"|"by Sara Ann Jones."|"Jones, Sara Ann."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0130102-103857/"
"Retention and movement of reactive chemicals in soils"||"by Hongxia Zhu."|"Zhu, Hongxia,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0130102-181818/"
"Comparative study of analog and digital hearing aids"||"by Adam Benjamin Lopez."|"Lopez, Adam Benjamin,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0130102-072730/"
"Perception of and reactions to the presence of URL's in print advertising of a non-technology brand"||"by Neil Melancon."|"Melancon, Neil,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0131102-132358/"
"Dirty secrets"|"blood protein and VFA analysis of soil from execution and grave site in the former Yugoslavia /"|"by Hugh Tuller."|"Tuller, Hugh,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0131102-125405/"
"Control of food intake and body weight following smoking cessation in premenopausal women"||"byJamie Lynn Neal."|"Neal, Jamie Lynn."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0124102-111609/"
"Landscape overlay zoning district ordianance"|"for the Lafayette ""oil patch promenadea"", Highway US 90, Lafayette Parish, Louisiana /"|"by Neal Wesley Kessler."|"Kessler, Neal W."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0122102-171421/"
"A comparison of self-report and performance-based measures of physical function in older adults"||"by Amy Elizabeth Dunbar."|"Dunbar, Amy Elizabeth,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-1214101-190232/"
"Building community"|"an environmental approach to crime prevention /"|"by Gustavo A. Barreto."|"Barreto, Gustavo A."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-1218101-192458/"
"KEKF R1 Reservoir - West Delta Block 84, Plaquemines Parish, Louisiana - an analysis and confirmation of bypassed primary and secondary reserves"||"byWilliam Clay Kimbrell."|"Kimbrell, William Clay,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0114102-162311/"
"Sediment transport in wind-exposed shallow, vegetated aquatic systems"||"by Allen Michael Teeter."|"Teeter, Allen Michael,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0125102-111357/"
"Nitrogen use efficiency of cotton following corn in rotation and foliar fertilization of cotton using leaf blade analysis"||"by Charles Chism Craig, Jr."|"Craig, Charles Chism,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0123102-151708/"
"A game theoretic analysis of U.S. rice exports under alternative Japanese and South Korean policy scenarios"||"by Dae-Seob Lee."|"Lee, Dae-Seob."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0124102-122713/"
"Intracytoplasmic sperm injection (ICSI) in fishes"||"by Germán A. Poleo."|"Poleo, Germán A."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0123102-140805/"
"Modeling canopy structure effects on loblolly pine growth"||"by Mauricio Jerez Rico."|"Jerez Rico, Mauricio,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0123102-090803/"
"Social exchange and customer service"|"the relationship between perceived organizational support, leader-member exchange, and customer service behavior /"|"by Lisa Michelle Polly."|"Polly, Lisa Michelle."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0122102-140841/"
"Feedback seeking in customer service relationships"||"by Aletta Machell Barnard."|"Barnard, Aletta Machell,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0124102-102623/"
"A catalogue of twentieth-century Spanish music for cello and piano"||"by Gabriel Delgado Morán."|"Delgado Morán, Gabriel."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0107102-181103/"
"How the media are portrayed in print advertisements"|"a content analysis of magazine advertisements throughout the twentieth century /"|"by Kathryn Elizabeth Burke."|"Burke, Kathryn Elizabeth,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-215042/"
"The role of libraries in Native American communities in Louisiana"||"by Becky Hebert."|"Hebert, Becky B."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-144434/"
"The effects of growth hormone or melatonin on the reproductive axis of stallions"||"by William Andrew Storer."|"Storer, William Andrew,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0410102-113624/"
"The Tardieu moment"|"Andre Tardieus failure as Prime Minister of France, 1929-1930 /"|"by Tim K. Fuchs."|"Fuchs, Tim K."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-090832/"
"Doing homework"|"negotiations of the domestic in twentieth-century novels of teaching /"|"by Margaret M. Watson."|"Watson, Margaret M."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-144640/"
"Misguided by experience"|"a defense of Custer's actions at the Little Bighorn /"|"by Harold Douglas Baker, Jr."|"Baker, Harold Douglas,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-170705/"
"The radiation-induced degradation of poly(diene sulfones) as x-ray resists"||"by Gina Calderon."|"Calderon, Gina."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0425102-225712/"
"Ecologically sensitive wetland sites"|"an investigation of land use attitudes and development trends with educational objectives /"|"by Linda A. Chance."|"Chance, Linda A.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0322102-120443/"
"""You Go Girl!"" nationalism and women's empowerment in the Bollywood film Kya Kehna"||"by Hope Marie Childers."|"Childers, Hope Marie,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-131419/"
"The influence of imagined interactions on verbal fluency"||"by Charles W. Choi."|"Choi, Charles W."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-143155/"
"Influence of locus of control on court attendance"||"by Anna Cutlip."|"Cutlip, Anna,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-094358/"
"Analysis of methods for assigning capacity in a transportation planning network"||"by Yogesh Dheenadayalu."|"Dheenadayalu, Yogesh,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0323102-193001/"
"Reproductive biology of smooth cordgrass (Spartina alterniflora)"||"by Xiaobing Fang."|"Fang, Xiaobing,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0225102-160905/"
"Free will and responsiblity"|"indeterminism and its problems /"|"by Troy Dwayne Fassbender."|"Fassbender, Troy Dwayne,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-084838/"
"Litter and ground dwelling spiders of mixed mesophytic forest in southeast Louisiana"||"by Joyce L. Fassbender."|"Fassbender, Joyce L.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-084638/"
"Operation overlord"||"by James Clinton Emmert."|"Emmert, James Clinton,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-125147/"
"The changing face of HIV/AIDS"|"an anthropological and epidemiological study of the Baton Rouge area /"|"by Erica Brooke Gibson."|"Gibson, Erica Brooke,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-170458/"
"The Threepenny Opera"|"designing lights with Brecht a production thesis in theatre design and technology /"|"by Brent Landry Glenn."|"Glenn, Brent Landry."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-220101/"
"Patterns of female nest attendance in northern pintails and mallards"||"by Andrea Kim Hoover."|"Hoover, Andrea Kim,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0502102-131203/"
"Taking PR to school"|"a case study of the three private high school public relations and development departments /"|"by Christine Indest."|"Indest, Christine."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-155145/"
"Effects of feeding strategies on growth of Florida pompano (Trachinotus carolinus) in closed recirculating systems"||"by Derek R. Groat."|"Groat, Derek R.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0423102-144103/"
"Directing The Threepenny Opera"||"by Alexander G. Harrington."|"Harrington, Alexander G."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0320102-151248/"
"Visco-elastic creep in the lumbar spine associated with static flexion"|"a feline model /"|"by Güntülü Selen Hatipkarasulu."|"Hatipkarasulu, Güntülü Selen,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-143711/"
"Spaced-retrieval effects on name-face recognition in older adults with probable Alzheimer's disease"||"by Karri Sikes Hawley."|"Hawley, Karri Sikes."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0326102-171815/"
"A scenic design process for The Chemistry of Change"|"a production thesis in theatre design and technology /"|"by Stephen E. Haynes."|"Haynes, Stephen E."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0405102-234921/"
"Denitrification potential of sediment from a future Mississippi River diversion site in Louisiana"||"by Roy Ryuta Iwai."|"Iwai, Roy Ryuta,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-115928/"
"The differences in performance of a left vs. right brained golfer on a curvilinear golf course"||"by Robin S. Jamison."|"Jamison, Robin S."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0513102-144354/"
"Buddha's shell"||"by Matthew Keating Jones."|"Jones, Matthew Keating,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-142132/"
"Responses of African-American girls to two types of folktales"||"by Corrie M. Kiesel."|"Kiesel, Corrie M."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0326102-172237/"
"La poetique du paysage dans l'oeuvre d'Edouard Glissant, de Kateb Yacine et de William Faulkner"||"by Nabil Augustin Boudraa."|"Boudraa, Nabil Augustin,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-130949/"
"Evaluation of the hydrocarbon potential in low-salinity shaly sand"||"by Kurniawan."|"Kurniawan, Bobby,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-140916/"
"2001 Louisiana Legislative Special Session"|"do we all read the same news /"|"by Jennifer Bhatia Ledbetter."|"Ledbetter, Jennifer Bhatia,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-135053/"
"Sorority rituals :"|"rites of passage and their impact on contemporary sorority women"|"by Mari Ann Callais."|"Callais, Mari Ann,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-225829/"
"Fecal coliform decay and regrowth kinetics in an anaerobic dairy wastewater environment"||"by Shufang Liu."|"Liu, Shufang."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0413102-142601/"
"Delayed phytotoxicity syndrome in Louisiana rice caused by the use of thiobencarb herbicide"||"by Chiliang Chen."|"Chen, Chiliang,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-103825/"
"A potential nutraceutical from Leuconostoc mesenteroides B-742 (ATCC 13146); production and properties"||"by Chang-Ho Chung."|"Chung, Chang-Ho,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-153157/"
"Experimental evaluation of control fluid fallback during off-bottom well control in vertical and deviated wells"||"by Fernando Sebastian Flores-Avila."|"Flores-Avila, Fernando Sebastian,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-111522/"
"An analysis of marina environmental practices on the north shore of Lake Pontchartrain"||"by Arthur Hunter Marks, III."|"Marks, Arthur Hunter,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0408102-132617/"
"The culture of crime"|"representations of the criminal in eighteen-century England /"|"by Daniel Gonzalez."|"Gonzalez, Daniel,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-024341/"
"Follicular growth and development and gonadotropin response of mares treated with dihydrotestosterone and estradiol benzoate"||"by Scarlett Lynn McMeen."|"McMeen, Scarlett Lynn,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-151016/"
"Expectations and experiences"|"case studies of four first-year teachers /"|"by Sandra B. Hebert."|"Hebert, Sandra B."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-125804/"
"Organizational culture's contributions to security failures within the United States intelligence community"||"by Troy M. Mouton."|"Mouton, Troy Michael,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-070847/"
"Computing moments of a binary horizontally/vertically convex image using run-time reconfiguration"||"by Cheowway Neoh."|"Neoh, Cheowway."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0414102-135429/"
"The role of initial coping strategies on subsequent appointment attendance in individuals with HIV"|"a longitudinal analysis /"|"by DeAnn Morris Johnson."|"Johnson, DeAnn Morris."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-092007/"
"The effect of periodic operation on biofilters for removal of methyl ethyl ketone from contaminated air"||"by Charles William Norman."|"Norman, Charles William."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-141608/"
"For a good cause :"|"the effects of cause important, cause proximity, congruency and participation effort on consumers' evaluation of cause related marketing"|"by Stacy Landreth."|"Landreth, Stacy."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-123400/"
"Effects of several abiotic and biotic factors and plant hormones on growth, morophology, and camptothecin accumulation in Camptotheca acuminata seedlings"||"by Zhanhai Li."|"Li, Zhanhai."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0407102-133614/"
"Effects of repeat sampling in the U.S. Waterfowl Parts Collection Survey"||"by Jesse G. Oetgen."|"Oetgen, Jesse G.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-112656/"
"Coordination of the lower extremity muscles during gait transitions"||"by Lorna Louise Ogden."|"Ogden, Lorna Louise,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-134111/"
"A new approach to evaluate fracture strength of UV-LIGA fabricated nickel specimens"||"by Catherine Oropeza."|"Oropeza, Catherine,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-175706/"
"High resolution modeling of transport in porous media"||"by Guangli Liu."|"Liu, Guangli,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-131049/"
"One-week stability of forearm venous outflow as assessed by venous occlusion plethysmography"||"by Jennifer P. Ortego."|"Ortego, Jennifer Pitre,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0402102-135533/"
"Fine aggregate characterization using digital image analysis"||"by Tongyan Pan."|"Pan, Tongyan,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-153001/"
"The perceptions of and attitudes toward partner abuse among first generation Korean-Americans"|"their relationships to the incidence of partner abuse /"|"by Bonnie Ahn."|"Ahn, Bonnie."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0401102-130106/"
"Occurrence of degenerative joint disease in the radius"|"analysis of skeletal remains from the Poole-Rose ossuary /"|"by Mirenda Ann Parks."|"Parks, Mirenda Ann,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-150028/"
"A factorization approach for solving the Hamilton-Jacobi equations in nonlinear optimal control"||"by Mohammad Dikko Aliyu."|"Aliyu, Mohammad Dikko,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0412102-153450/"
"Efficient convolvers using the Polynomial Residue Number System technique"||"by Surendar Paruchuri."|"Paruchuri, Surendar,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0405102-094607/"
"Effects of a screening instrument and parent handouts on physicians recognition and intervention of childrens behavioral and emotional problems"||"by Heather Rech Applegate."|"Applegate, Heather Rech."||"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-203956/"
"A descriptive study of at risk mothers' interactions with their children"||"by Vicky Lynn Poston."|"Poston, Vicky Lynn,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-170544/"
"Neo-onnagata"|"professional cross-dressed actors and their roles on the contemporary Japanese stage /"|"by William Hamilton Armstrong, IV."|"Armstrong, William Hamilton,"||"2002]"|"http://etd.lsu.edu/docs/available/etd-0419102-085015/"
"Evaluating the effectiveness of a parent training program on adolescent mothers and their communicative interactions with their children"||"by Sonja Lee Pruitt."|"Pruitt, Sonja Lee."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-170452/"
"The influence of the use of recommended management practices on milk production in southeast Louisiana"||"by Ronald D. Bardwell."|"Bardwell, Ronald D."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-195129/"
"Hard surface coating experimental evaluation and thermomechanical analysis of a seal with micro heat exchanger"||"by Yifan Qiu."|"Qiu, Yifan,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-232204/"
"The origin of Peruvian professional militarism"||"by Mariella Reano."|"Reano, Mariella."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-094729/"
"Sex estimation of fetal and infant remains based on metric and morphognostic analyses"||"by Jason Ridley."|"Ridley, Jason Thomas."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-183759/"
"A model for evaluation of selected compositions for unaccompanied solo trumpet according to criteria of serious artistic merit"||"by Michael Craig Bellinger."|"Bellinger, Michael Craig."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-094919/"
"The strategic bombing campaign against Germany during World War II"||"by Julius A. Rigole."|"Rigole, Julius A."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0413102-132317/"
"Human heir"||"by Andrew Jay Saluti."|"Saluti, Andrew Jay,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-132600/"
"Techniques and algorithms for immersive and interactive visualization of large datasets"||"by Ashish Sharma."|"Sharma, Ashish,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0410102-151815/"
"The effect of resource cycling and food insecurity on dietary intake and weight of low-income, single mothers living in rural Louisiana"||"by Jennifer Smith."|"Smith, Jennifer,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0419102-091551/"
"Louisiana mass media perceptions of the LSU AgCenter's communications effort"||"by Robert James Soileau."|"Soileau, Robert James,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0412102-144208/"
"The effects of singing on blood pressure in classically trained singers"||"by Kimberly Jaye Broadwater."|"Broadwater, Kimberly Jaye."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-005608/"
"Harper Lee's To Kill a Mockingbird as adapted by Christopher Sergel"|"a thesis in directing /"|"Andrew Vastine Stabler."|"Stabler, Andrew Vastine."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-144343/"
"Validation of AnnAGNPS at the field and farm-scale using an integrated AGNPS/GIS system"||"Glenn M. Suir."|"Suir, Glenn M.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-153709/"
"Hidden memories"||"by Jennifer Elizabeth Swanson."|"Swanson, Jennifer Elizabeth,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0412102-082645/"
"A state-of-the-practice review of hurricane evacuation plans and policies"||"by Elba Alicia Urbina."|"Urbina, Elba Alicia,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-140236/"
"Parametric and sensitivity analysis of a vibratory automobile model"||"by Kanika Nicole Vessel."|"Vessel, Kanika Nicole,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-120103/"
